排名,代码,名称,综合评分,基本面,技术面,资金面,预测方向,目标价低,目标价高,风险等级
254,002352.SZ,顺丰控股,47.5,59.9,36.5,43.2,偏空震荡,37.25,38.32,低风险
255,600048.SH,保利发展,47.3,45.9,40.6,58.9,偏多震荡,6.45,7.03,中等风险
256,688082.SH,盛美上海,47.3,67.0,24.1,48.1,偏空震荡,175.71,184.29,中等风险
257,600438.SH,通威股份,47.2,37.4,53.6,54.1,震荡整理,17.11,18.91,高风险
258,600372.SH,中航机载,47.0,43.6,47.7,51.5,震荡整理,15.18,16.94,高风险
259,002625.SZ,光启技术,46.9,60.9,24.1,56.3,偏空震荡,45.29,47.68,中等风险
260,002241.SZ,歌尔股份,46.8,51.4,42.1,46.1,偏空震荡,25.60,26.59,中等风险
261,601669.SH,中国电建,46.8,47.1,39.1,56.9,震荡整理,5.29,5.59,中等风险
262,600547.SH,山东黄金,46.7,64.2,24.1,50.5,偏空震荡,42.85,48.10,高风险
263,601618.SH,中国中冶,46.6,40.8,44.4,59.0,震荡整理,2.89,3.11,中等风险
264,600584.SH,长电科技,46.4,52.1,30.5,59.7,震荡整理,43.76,48.50,高风险
265,302132.SZ,中航成飞,46.3,43.0,50.0,46.4,震荡整理,77.21,81.71,中等风险
266,601698.SH,中国卫通,46.2,47.5,48.9,40.4,偏空震荡,35.60,36.65,高风险
267,600089.SH,特变电工,46.1,55.9,32.4,49.6,偏空震荡,26.73,28.60,高风险
268,600362.SH,江西铜业,46.1,59.4,30.3,46.8,偏空震荡,52.01,58.08,高风险
269,002049.SZ,紫光国微,45.8,62.8,24.1,49.1,偏空震荡,76.02,79.35,中等风险
270,603986.SH,兆易创新,45.7,60.0,21.5,56.6,偏空震荡,287.90,329.50,高风险
271,601818.SH,光大银行,45.5,60.2,19.1,59.0,震荡整理,3.22,3.36,低风险
272,603260.SH,合盛硅业,45.4,34.2,56.0,48.6,震荡整理,45.95,50.01,中等风险
273,600893.SH,航发动力,45.2,35.0,46.6,59.5,震荡整理,53.71,60.63,高风险
274,601136.SH,首创证券,45.2,50.6,36.5,48.8,偏空震荡,17.64,18.10,低风险
275,002460.SZ,赣锋锂业,44.9,48.5,38.4,48.2,偏空震荡,62.55,70.09,高风险
276,688223.SH,晶科能源,44.8,26.6,63.5,47.8,震荡整理,6.72,8.46,高风险
277,301269.SZ,华大九天,44.8,51.0,35.0,48.7,偏空震荡,99.41,105.72,中等风险
278,600760.SH,中航沈飞,44.6,39.8,50.0,44.8,偏空震荡,53.51,56.29,中等风险
279,600515.SH,海南机场,44.3,41.5,40.6,53.9,偏空震荡,4.45,4.56,中等风险
280,000630.SZ,铜陵有色,44.2,52.8,30.8,49.3,偏空震荡,6.79,7.26,高风险
281,603392.SH,万泰生物,44.1,35.0,50.0,50.6,偏空震荡,39.09,41.23,中等风险
282,601868.SH,中国能建,43.3,51.1,24.7,56.7,震荡整理,2.33,2.45,中等风险
283,000617.SZ,中油资本,42.9,45.6,38.8,44.3,偏空震荡,8.76,8.85,低风险
284,300782.SZ,卓胜微,42.5,34.2,42.1,56.4,震荡整理,71.06,76.84,中等风险
285,600346.SH,恒力石化,42.2,44.9,38.7,42.8,看跌,23.81,25.40,高风险
286,601238.SH,广汽集团,42.0,31.5,44.4,55.3,震荡整理,7.68,7.96,低风险
287,300122.SZ,智飞生物,40.7,42.2,35.4,45.6,看跌,16.75,17.30,中等风险
288,688111.SH,金山办公,40.2,58.8,5.0,59.9,偏空震荡,293.39,321.17,中等风险
289,300759.SZ,康龙化成,40.2,54.6,18.1,48.1,看跌,29.83,30.41,中等风险
290,002179.SZ,中航光电,38.9,52.8,16.2,48.4,偏空震荡,33.77,34.82,中等风险
291,600570.SH,恒生电子,37.7,43.9,16.2,57.7,震荡整理,29.48,31.32,中等风险
292,600196.SH,复星医药,37.7,55.0,5.0,55.7,震荡整理,25.96,27.18,低风险
293,002074.SZ,国轩高科,37.3,59.2,5.0,47.4,看跌,35.65,37.69,中等风险
294,300316.SZ,晶盛机电,35.7,42.0,21.6,45.3,看跌,42.30,49.74,高风险
295,600588.SH,用友网络,29.6,34.5,5.0,56.2,震荡整理,13.93,15.27,中等风险
